13/12/2017 00:30;Dallas Mavericks;San Antonio Spurs
13/12/2017 01:00;Sacramento Kings;Phoenix Suns
13/12/2017 22:00;Indiana Pacers;Oklahoma City Thunder
13/12/2017 22:00;Orlando Magic;Los Angeles Clippers
13/12/2017 22:00;Washington Wizards;Memphis Grizzlies
13/12/2017 22:30;Boston Celtics;Denver Nuggets
13/12/2017 22:30;Miami Heat;Portland Trail Blazers
13/12/2017 23:00;Chicago Bulls;Utah Jazz
13/12/2017 23:00;New Orleans Pelicans;Milwaukee Bucks
14/12/2017 00:00;Phoenix Suns;Toronto Raptors
14/12/2017 00:30;Houston Rockets;Charlotte Hornets
14/12/2017 22:30;Atlanta Hawks;Detroit Pistons
14/12/2017 22:30;Brooklyn Nets;New York Knicks
14/12/2017 23:00;Cleveland Cavaliers;Los Angeles Lakers
14/12/2017 23:00;Minnesota Timberwolves;Sacramento Kings
15/12/2017 01:30;Golden State Warriors;Dallas Mavericks
15/12/2017 22:00;Charlotte Hornets;Miami Heat
15/12/2017 22:00;Indiana Pacers;Detroit Pistons
15/12/2017 22:00;Orlando Magic;Portland Trail Blazers
15/12/2017 22:00;Philadelphia 76ers;Oklahoma City Thunder
15/12/2017 22:00;Washington Wizards;Los Angeles Clippers
15/12/2017 22:30;Boston Celtics;Utah Jazz
15/12/2017 22:30;Toronto Raptors;Brooklyn Nets
15/12/2017 23:00;Memphis Grizzlies;Atlanta Hawks
15/12/2017 23:00;Milwaukee Bucks;Chicago Bulls
16/12/2017 00:00;Denver Nuggets;New Orleans Pelicans
16/12/2017 00:30;Houston Rockets;San Antonio Spurs
16/12/2017 22:00;Charlotte Hornets;Portland Trail Blazers
16/12/2017 22:30;Cleveland Cavaliers;Utah Jazz
16/12/2017 22:30;New York Knicks;Oklahoma City Thunder
16/12/2017 23:00;Houston Rockets;Milwaukee Bucks
16/12/2017 23:00;Miami Heat;Los Angeles Clippers
16/12/2017 23:00;Minnesota Timberwolves;Phoenix Suns
16/12/2017 23:30;San Antonio Spurs;Dallas Mavericks
17/12/2017 00:00;Memphis Grizzlies;Boston Celtics
17/12/2017 18:30;Toronto Raptors;Sacramento Kings
17/12/2017 19:00;Detroit Pistons;Orlando Magic
17/12/2017 21:00;Brooklyn Nets;Indiana Pacers
17/12/2017 21:00;Washington Wizards;Cleveland Cavaliers
18/12/2017 22:00;Charlotte Hornets;New York Knicks
18/12/2017 22:00;Indiana Pacers;Boston Celtics
18/12/2017 22:30;Atlanta Hawks;Miami Heat
18/12/2017 23:00;Chicago Bulls;Philadelphia 76ers
18/12/2017 23:00;Houston Rockets;Utah Jazz
18/12/2017 23:00;Minnesota Timberwolves;Portland Trail Blazers
18/12/2017 23:00;Oklahoma City Thunder;Denver Nuggets
18/12/2017 23:30;Dallas Mavericks;Phoenix Suns
18/12/2017 23:30;San Antonio Spurs;Los Angeles Clippers
19/12/2017 01:30;Los Angeles Lakers;Golden State Warriors
19/12/2017 22:00;Philadelphia 76ers;Sacramento Kings
19/12/2017 22:00;Washington Wizards;New Orleans Pelicans
19/12/2017 23:00;Milwaukee Bucks;Cleveland Cavaliers
20/12/2017 22:00;Charlotte Hornets;Toronto Raptors
20/12/2017 22:30;Atlanta Hawks;Indiana Pacers
20/12/2017 22:30;Boston Celtics;Miami Heat
20/12/2017 22:30;Brooklyn Nets;Sacramento Kings
20/12/2017 23:00;Chicago Bulls;Orlando Magic
20/12/2017 23:00;Houston Rockets;Los Angeles Lakers
20/12/2017 23:00;Oklahoma City Thunder;Utah Jazz
20/12/2017 23:30;Dallas Mavericks;Detroit Pistons
21/12/2017 00:00;Denver Nuggets;Minnesota Timberwolves
21/12/2017 01:00;Portland Trail Blazers;San Antonio Spurs
21/12/2017 01:30;Golden State Warriors;Memphis Grizzlies
21/12/2017 01:30;Los Angeles Clippers;Phoenix Suns
21/12/2017 22:00;Cleveland Cavaliers;Chicago Bulls
21/12/2017 22:00;Philadelphia 76ers;Toronto Raptors
21/12/2017 23:00;New York Knicks;Boston Celtics
22/12/2017 00:00;Phoenix Suns;Memphis Grizzlies
22/12/2017 01:30;Utah Jazz;San Antonio Spurs
22/12/2017 22:00;Detroit Pistons;New York Knicks
22/12/2017 22:00;Orlando Magic;New Orleans Pelicans
22/12/2017 22:30;Brooklyn Nets;Washington Wizards
22/12/2017 23:00;Houston Rockets;Los Angeles Clippers
22/12/2017 23:00;Miami Heat;Dallas Mavericks
22/12/2017 23:00;Milwaukee Bucks;Charlotte Hornets
22/12/2017 23:00;Oklahoma City Thunder;Atlanta Hawks
23/12/2017 01:00;Portland Trail Blazers;Denver Nuggets
23/12/2017 01:30;Golden State Warriors;Los Angeles Lakers
23/12/2017 20:00;Toronto Raptors;Philadelphia 76ers
23/12/2017 22:00;Charlotte Hornets;Milwaukee Bucks
